label,seq,node_id,lat,lng,highway_tag,connected_edge_count,street_view_url,nearby_stop_tag,nearby_stop_node_id,nearby_stop_dist_m
高円寺→中野,1,752305587,35.7056904,139.6504760,crossing,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7056904,139.6504760",,,
高円寺→中野,2,926616225,35.7055401,139.6509456,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7055401,139.6509456",,,
高円寺→中野,3,2042627174,35.7055384,139.6509915,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7055384,139.6509915",,,
高円寺→中野,4,926616342,35.7055222,139.6514474,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7055222,139.6514474",,,
高円寺→中野,5,777911659,35.7055187,139.6519728,,4,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7055187,139.6519728",,,
高円寺→中野,6,926616428,35.7055257,139.6524164,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7055257,139.6524164",,,
高円寺→中野,7,1235235604,35.7055362,139.6528264,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7055362,139.6528264",,,
高円寺→中野,8,6271226170,35.7055377,139.6529575,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7055377,139.6529575",,,
高円寺→中野,9,2380920418,35.7055384,139.6530075,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7055384,139.6530075",,,
高円寺→中野,10,752305493,35.7055729,139.6546088,traffic_signals,4,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7055729,139.6546088",,,
高円寺→中野,11,761140748,35.7056006,139.6547604,traffic_signals,4,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7056006,139.6547604",,,
高円寺→中野,12,806413720,35.7056290,139.6557516,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7056290,139.6557516",,,
高円寺→中野,13,1235797154,35.7056389,139.6560943,,4,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7056389,139.6560943",,,
高円寺→中野,14,792216727,35.7056498,139.6565172,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7056498,139.6565172",,,
高円寺→中野,15,752305542,35.7056669,139.6571148,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7056669,139.6571148",,,
高円寺→中野,16,752305602,35.7056744,139.6576495,,4,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7056744,139.6576495",,,
高円寺→中野,17,752305376,35.7054357,139.6576625,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7054357,139.6576625",,,
高円寺→中野,18,792216730,35.7054432,139.6581847,,4,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7054432,139.6581847",,,
高円寺→中野,19,1010134438,35.7053920,139.6593688,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7053920,139.6593688",,,
高円寺→中野,20,1009865966,35.7054782,139.6593701,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7054782,139.6593701",,,
高円寺→中野,21,721961883,35.7055065,139.6609515,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7055065,139.6609515",,,
高円寺→中野,22,721961702,35.7054932,139.6618398,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7054932,139.6618398",,,
高円寺→中野,23,10017270140,35.7054548,139.6634097,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7054548,139.6634097",,,
高円寺→中野,24,623811974,35.7054613,139.6642698,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7054613,139.6642698",stop,10035139362,13.15
高円寺→中野,25,8784582361,35.7054331,139.6654190,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7054331,139.6654190",stop,8784582360,14.29
千葉→幕張本郷,1,248759910,35.6134643,140.1150258,traffic_signals,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6134643,140.1150258",,,
千葉→幕張本郷,2,248759908,35.6138488,140.1162837,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6138488,140.1162837",,,
千葉→幕張本郷,3,248759907,35.6143359,140.1169502,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6143359,140.1169502",,,
千葉→幕張本郷,4,248759903,35.6144426,140.1171535,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6144426,140.1171535",,,
千葉→幕張本郷,5,1582893394,35.6148249,140.1178059,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6148249,140.1178059",,,
千葉→幕張本郷,6,1582893628,35.6152620,140.1181928,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6152620,140.1181928",,,
千葉→幕張本郷,7,1582893232,35.6156509,140.1183643,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6156509,140.1183643",,,
千葉→幕張本郷,8,1582893518,35.6159349,140.1183498,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6159349,140.1183498",,,
千葉→幕張本郷,9,1582893564,35.6159366,140.1184288,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6159366,140.1184288",,,
千葉→幕張本郷,10,2419478587,35.6160469,140.1184259,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6160469,140.1184259",,,
千葉→幕張本郷,11,2419354621,35.6160518,140.1183566,,4,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6160518,140.1183566",,,
千葉→幕張本郷,12,248759898,35.6165642,140.1184105,traffic_signals,5,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6165642,140.1184105",,,
千葉→幕張本郷,13,1835648416,35.6175281,140.1183997,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6175281,140.1183997",,,
千葉→幕張本郷,14,1197880759,35.6214721,140.1167681,,3,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6214721,140.1167681",,,
